fight_id,event_id,fighter1_id,fighter2_id,fighter1_name,fighter2_name,winner_id,weight_class,method,fighter1_KD,fighter2_KD,fighter1_SigStrikes_Landed,fighter1_SigStrikes_Att,fighter2_SigStrikes_Landed,fighter2_SigStrikes_Att,fighter1_TotalStrikes_Landed,fighter1_TotalStrikes_Att,fighter2_TotalStrikes_Landed,fighter2_TotalStrikes_Att,fighter1_Takedowns_Landed,fighter1_Takedowns_Att,fighter2_Takedowns_Landed,fighter2_Takedowns_Att,fighter1_Submission_Att,fighter2_Submission_Att,fighter1_Reversals,fighter2_Reversals,fighter1_Control_time,fighter2_Control_time,fighter1_Head_strikes,fighter2_Head_strikes,fighter1_Body_strikes,fighter2_Body_strikes,fighter1_Leg_strikes,fighter2_Leg_strikes,fighter1_Distance_strikes,fighter2_Distance_strikes,fighter1_Clinch_strikes,fighter2_Clinch_strikes,fighter1_Ground_strikes,fighter2_Ground_strikes
8104fe27bdc46914,1174782eacde9b0c,eabf206b162b3b83,886264a0c9f4ea5e,Paul Craig,Andre Muniz,eabf206b162b3b83,Middleweight Bout,KO/TKO,0,0,9,25,13,23,10,26,15,25,0,0,1,1,0,0,0,0,0:00,0:45,1,4,7,2,1,7,9,13,0,0,0,0
2d1ac675e6c1e6ea,5717efc6f271cd52,eabf206b162b3b83,c21f26bbde777573,Paul Craig,Johnny Walker,c21f26bbde777573,Light Heavyweight Bout,KO/TKO,0,1,3,8,16,20,3,8,17,21,0,0,0,0,0,0,0,0,0:00,0:04,0,12,1,1,2,3,3,6,0,5,0,5
47b1cd4e3e2595f8,319c15b8aac5bfde,eabf206b162b3b83,0845c81e37d3bcb3,Paul Craig,Volkan Oezdemir,0845c81e37d3bcb3,Light Heavyweight Bout,Decision - Unanimous,0,0,5,11,16,29,5,11,26,39,0,5,0,0,0,0,0,0,0:07,2:01,3,8,1,3,1,5,5,9,0,4,0,3
766b4f5e77ab0860,1d00756835ca67c9,1091d4d957141094,eabf206b162b3b83,Nikita Krylov,Paul Craig,eabf206b162b3b83,Light Heavyweight Bout,Submission,0,0,19,25,2,3,30,39,11,12,1,1,1,1,0,1,0,0,3:49,0:02,18,2,1,0,0,0,3,0,0,0,16,2
4560734220b96851,0b64d0fed453ef7f,eabf206b162b3b83,5444c5a201d3ee5a,Paul Craig,Jamahal Hill,eabf206b162b3b83,Light Heavyweight Bout,KO/TKO,0,0,23,25,1,8,43,47,3,10,0,1,0,0,3,0,0,0,0:03,0:53,18,0,4,0,1,1,6,1,0,0,17,0
1671723154d8e324,bbb15f301e4a490a,140745cbbcb023ac,eabf206b162b3b83,Mauricio Rua,Paul Craig,eabf206b162b3b83,Light Heavyweight Bout,KO/TKO,0,0,6,15,8,24,14,26,21,39,0,0,2,3,0,0,0,1,1:44,1:45,3,3,1,1,2,4,5,5,0,3,1,0
74dae3d87a99cf5d,dde70a112e053a6c,eabf206b162b3b83,af997f7611673880,Paul Craig,Gadzhimurad Antigulov,eabf206b162b3b83,Light Heavyweight Bout,Submission,0,0,2,5,11,16,4,7,16,22,0,0,1,2,1,0,0,0,0:00,1:41,2,9,0,2,0,0,2,1,0,0,0,10
8cf6b22995c9efb8,94a5aaf573f780ad,acb36c908d415c4a,eabf206b162b3b83,Vinicius Moreira,Paul Craig,eabf206b162b3b83,Light Heavyweight Bout,Submission,0,1,1,3,18,27,1,3,33,43,0,0,1,1,0,1,0,0,0:51,2:08,0,16,0,2,1,0,1,1,0,6,0,11
c770192a9f3261cd,c0c1bc0766df4c00,a495f599e787614f,eabf206b162b3b83,Alonzo Menifield,Paul Craig,a495f599e787614f,Light Heavyweight Bout,KO/TKO,0,0,8,22,7,13,8,23,21,28,0,0,0,1,0,0,0,0,1:22,0:12,6,3,1,4,1,0,3,4,1,3,4,0
1d8ee477e682a8fc,9649d75defe0dedb,8667caa0451d245b,eabf206b162b3b83,Kennedy Nzechukwu,Paul Craig,eabf206b162b3b83,Light Heavyweight Bout,Submission,0,0,12,17,5,18,12,18,5,18,0,0,1,8,0,1,0,0,1:46,1:13,10,1,2,0,0,4,3,5,6,0,3,0
29f40d82bd128c65,d1d20e651e6cbc02,70e1f8a821b72c8b,eabf206b162b3b83,Jimmy Crute,Paul Craig,70e1f8a821b72c8b,Light Heavyweight Bout,Submission,0,0,5,16,4,7,7,19,14,18,1,1,1,2,1,0,1,0,2:58,1:07,5,1,0,3,0,0,1,3,0,1,4,0
714d6fc1eaca9624,eed2b71d77d95416,eabf206b162b3b83,d802174b0c0c1f4e,Paul Craig,Magomed Ankalaev,eabf206b162b3b83,Light Heavyweight Bout,Submission,0,0,8,20,18,29,20,36,24,35,1,2,0,0,0,0,0,1,1:14,1:26,0,9,6,6,2,3,5,9,3,3,0,6
0f8b2f7299b5e114,d7907a9a968e4d29,749f572d1d3161fb,eabf206b162b3b83,Khalil Rountree Jr.,Paul Craig,749f572d1d3161fb,Light Heavyweight Bout,KO/TKO,1,0,15,47,17,29,15,47,17,29,0,0,0,1,0,0,0,0,0:04,0:00,14,1,1,3,0,13,13,17,0,0,2,0
6db4d7827082d5b9,20e403a1acfef130,49e96ff8ab781589,eabf206b162b3b83,Tyson Pedro,Paul Craig,49e96ff8ab781589,Light Heavyweight Bout,KO/TKO,1,0,23,35,12,24,34,46,29,47,0,0,0,3,0,0,0,0,2:37,0:06,18,2,3,7,2,3,4,4,8,8,11,0
01f396a7372dc8ff,32541eb5d12668b4,b0bd0c5425668b8f,eabf206b162b3b83,Henrique da Silva,Paul Craig,eabf206b162b3b83,Light Heavyweight Bout,Submission,0,0,12,15,18,29,17,22,36,47,1,3,1,1,0,1,0,0,2:19,1:48,5,10,5,8,2,0,4,3,8,12,0,3
fb7ebdda8658fa05,8753e125f4499816,1897b7b913736a7c,35b3772629e27a49,Alatengheili,Kevin Croom,1897b7b913736a7c,Bantamweight Bout,KO/TKO,1,0,9,17,2,12,9,17,2,12,0,0,0,0,0,0,0,0,0:01,0:00,9,0,0,1,0,1,8,2,0,0,1,0
7c2a02b5ea169b54,f5585e675af7afd4,7be14eaed4c74856,35b3772629e27a49,Brian Kelleher,Kevin Croom,7be14eaed4c74856,Featherweight Bout,Decision - Unanimous,1,0,11,29,33,88,15,35,43,104,1,2,0,1,0,0,0,0,0:17,0:24,7,17,4,6,0,10,9,32,2,1,0,0
1452c20d964c0a63,754968e325d6f60d,7498b3ac79a3b948,4729c93ba705a3bf,Taiyilake Nueraji,Kiefer Crosbie,7498b3ac79a3b948,Welterweight Bout,KO/TKO,0,0,27,38,2,3,31,42,11,12,1,3,0,1,0,0,0,0,3:11,0:08,25,1,2,1,0,0,2,2,0,0,25,0
3183dfe66fcdd25f,026b4f7049085842,8b6e5dc2ba1edbe7,4729c93ba705a3bf,Sam Patterson,Kiefer Crosbie,8b6e5dc2ba1edbe7,Welterweight Bout,Submission,0,0,9,26,9,16,13,31,10,17,1,1,0,0,1,0,0,0,0:56,0:15,8,4,1,0,0,5,9,9,0,0,0,0
65c89e0c92e51bb8,ece280745f8727b8,dda15dbfafb792df,4729c93ba705a3bf,Kevin Jousset,Kiefer Crosbie,dda15dbfafb792df,Welterweight Bout,Submission,0,0,29,58,39,59,39,69,45,66,1,1,0,0,1,0,0,0,0:45,0:00,18,20,4,9,7,10,25,36,4,3,0,0
1a13fc881a0aa164,6d12031661db8ac8,9094a881a7513de3,923767209632e08a,Kevin Syler,Ken Cross,923767209632e08a,Lightweight Bout,Decision - Unanimous,0,0,5,16,12,22,12,23,28,39,0,2,1,5,0,0,0,0,0:44,3:02,2,8,2,4,1,0,5,6,0,1,0,5
e4559c3cce6edec1,b16a7e6a627e9789,a9d6e047ce48ab63,2cd428e9606856fd,Allen Crowder,Jairzinho Rozenstruik,2cd428e9606856fd,Heavyweight Bout,KO/TKO,0,1,0,1,4,4,0,1,4,4,0,0,0,0,0,0,0,0,0:00,0:02,0,3,0,1,0,0,0,1,0,0,0,3
8da2c348ba6001a0,d4da8995fc91e7ef,85073dbd1be65ed9,a9d6e047ce48ab63,Greg Hardy,Allen Crowder,a9d6e047ce48ab63,Heavyweight Bout,DQ,0,0,21,39,7,16,27,45,11,20,0,0,1,2,0,1,0,0,1:11,2:20,16,7,4,0,1,0,11,3,5,1,5,3
40d9b5b47acf260b,9e30f69cc0869301,ce1e867808ef5fce,a9d6e047ce48ab63,Justin Willis,Allen Crowder,ce1e867808ef5fce,Heavyweight Bout,KO/TKO,1,0,22,44,15,38,25,47,17,41,0,0,0,0,0,0,0,0,0:02,0:00,21,6,1,1,0,8,14,13,6,2,2,0
52abce3a11b43b1d,c6becb722706c7d8,e5010b1b94ca5755,5f99b2bafb10305f,Paul Felder,Daron Cruickshank,e5010b1b94ca5755,Lightweight Bout,Submission,0,0,14,32,18,33,17,35,25,42,0,1,1,2,1,0,0,0,0:35,1:52,8,8,2,7,4,3,8,14,5,3,1,1
da7d7b4f20cd2af5,0c3838c8f7c620c2,5f99b2bafb10305f,8f6a18831a120817,Daron Cruickshank,James Krause,8f6a18831a120817,Lightweight Bout,Submission,0,0,6,19,10,15,6,19,10,15,0,0,1,1,0,1,0,0,0:03,0:10,3,5,3,3,0,2,5,9,1,1,0,0
d61a7b593218234b,f54200f1dfb9b5d4,5f99b2bafb10305f,08af939f41b5a57b,Daron Cruickshank,Beneil Dariush,08af939f41b5a57b,Lightweight Bout,Submission,0,0,13,31,21,41,13,31,23,43,0,2,1,1,0,1,0,0,0:01,0:50,7,10,2,8,4,3,10,14,3,1,0,6
88933cf1edd83034,0313bf497de9c470,5f99b2bafb10305f,6bf5a7d3e081ade2,Daron Cruickshank,Anthony Njokuani,5f99b2bafb10305f,Lightweight Bout,Decision - Unanimous,0,0,11,30,9,25,18,38,12,28,2,3,0,1,0,0,0,0,1:18,0:00,4,2,2,3,5,4,9,8,1,1,1,0
17dc833cda860933,05fbfe628658c538,5f99b2bafb10305f,47b9e0e7703a4868,Daron Cruickshank,Jorge Masvidal,47b9e0e7703a4868,Lightweight Bout,Decision - Unanimous,1,0,14,51,23,47,14,51,23,47,0,1,1,1,0,0,0,0,0:01,0:07,4,13,6,8,4,2,14,18,0,5,0,0
3ee1a3216cf66b95,579fcdfcabd23a7b,99bd87a300079ed9,5f99b2bafb10305f,Erik Koch,Daron Cruickshank,5f99b2bafb10305f,Lightweight Bout,KO/TKO,0,1,6,21,24,45,6,21,26,47,0,0,0,0,0,0,0,0,0:00,0:13,1,21,1,3,4,0,6,6,0,0,0,18
3f1d1bd33a296f26,a8d521d913df4e31,5f99b2bafb10305f,af90b10c785ced3e,Daron Cruickshank,Mike Rio,5f99b2bafb10305f,Lightweight Bout,KO/TKO,1,0,18,47,9,27,23,54,9,27,0,0,0,1,1,0,0,0,0:18,0:01,12,6,2,1,4,2,12,5,6,4,0,0
2dd0a47f43dfe8f6,5d7c18191b8aa432,7dcf06c1967801c1,5f99b2bafb10305f,Adriano Martins,Daron Cruickshank,7dcf06c1967801c1,Lightweight Bout,Submission,0,0,13,19,6,24,24,31,7,25,0,0,0,1,0,0,0,0,1:48,0:00,8,0,3,3,2,3,10,6,0,0,3,0
cf6b9a001b0824de,5330fe7e4c3af81c,5f04e3d58d9ce982,5f99b2bafb10305f,Yves Edwards,Daron Cruickshank,5f99b2bafb10305f,Lightweight Bout,Decision - Split,0,0,17,40,14,44,17,40,14,44,0,0,0,0,0,0,0,0,0:00,0:00,5,6,3,6,9,2,17,14,0,0,0,0
0bd0ca01a255038c,f1b2a4365799c48b,c21a036b4e012f1c,5f99b2bafb10305f,John Makdessi,Daron Cruickshank,c21a036b4e012f1c,Lightweight Bout,Decision - Unanimous,0,0,11,41,12,54,11,41,12,54,0,0,0,1,0,0,0,0,0:00,0:02,4,5,3,2,4,5,11,12,0,0,0,0
5c36d760c7e272f5,d1e6a6536ee62517,5f99b2bafb10305f,76729a829623e266,Daron Cruickshank,Henry Martinez,5f99b2bafb10305f,Lightweight Bout,KO/TKO,0,0,42,69,11,58,45,73,19,79,0,0,0,2,0,0,0,0,0:00,1:46,25,10,14,0,3,1,23,7,19,4,0,0
06a28491fe26baa6,96087e90d900f0ef,5f99b2bafb10305f,1d1b85389a05df69,Daron Cruickshank,Chris Tickle,5f99b2bafb10305f,Lightweight Bout,Decision - Unanimous,0,0,7,13,6,12,22,32,11,17,3,3,0,1,0,1,0,0,4:04,0:33,6,4,1,1,0,1,2,5,0,1,5,0
11cc331fa40ede63,a23e63184c65f5b8,7c7332319c14094c,10f3ba6cd2f44a97,Marlon Vera,Dominick Cruz,7c7332319c14094c,Bantamweight Bout,KO/TKO,1,0,9,33,21,61,11,37,29,71,0,0,2,2,0,0,0,0,0:03,0:49,4,12,2,1,3,8,9,19,0,0,0,2
abb8c6c0a057184e,ef927e4fe2117ab8,6bd02119599741a4,10f3ba6cd2f44a97,Pedro Munhoz,Dominick Cruz,10f3ba6cd2f44a97,Bantamweight Bout,Decision - Unanimous,1,0,21,45,25,51,26,50,25,51,0,0,1,2,0,0,0,0,0:10,0:03,14,18,2,5,5,2,20,23,1,1,0,1
f4363f1317b47213,6e2b1d631832921d,10f3ba6cd2f44a97,e7bba7ce4d6c7b07,Dominick Cruz,Casey Kenney,10f3ba6cd2f44a97,Bantamweight Bout,Decision - Split,0,0,26,56,23,63,26,56,23,63,0,2,0,0,0,0,0,0,0:00,0:17,10,9,7,6,9,8,26,22,0,1,0,0
25e6b11e1cf45b83,4b2390cfaceb91d8,10f3ba6cd2f44a97,d8c7c61b176e3994,Dominick Cruz,Cody Garbrandt,d8c7c61b176e3994,UFC Bantamweight Title Bout,Decision - Unanimous,0,0,20,50,12,38,20,50,12,38,0,2,1,1,0,0,0,0,0:00,0:09,9,5,4,3,7,4,20,11,0,1,0,0
9c884cbc3791bf60,ff4c3ab594c7fac3,10f3ba6cd2f44a97,78114b7199cef90c,Dominick Cruz,Urijah Faber,10f3ba6cd2f44a97,UFC Bantamweight Title Bout,Decision - Unanimous,0,0,10,24,4,13,19,34,15,24,1,3,1,1,0,0,1,0,1:53,0:10,5,4,2,0,3,0,8,1,2,3,0,0
c4938baf92d2dc31,c6becb722706c7d8,c849740a3ff51931,10f3ba6cd2f44a97,TJ Dillashaw,Dominick Cruz,10f3ba6cd2f44a97,UFC Bantamweight Title Bout,Decision - Split,0,0,19,87,21,62,26,94,21,62,0,2,1,5,0,0,0,0,0:12,0:07,9,17,7,2,3,2,19,19,0,2,0,0
